signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.965,0.009210628035142825,0.3212765877289339,0.029360529394794034,5,3,0.7054034048852702
raw_temperature_scaled_confidence,0.965,0.020201757978986167,0.5942554673176884,0.029918120143172806,4,3,0.7057735011102887
raw_platt_confidence,0.965,0.008367810208733673,0.008367810208733673,0.03383590002336289,7,7,0.7057735011102887
raw_isotonic_confidence,0.965,0.004090909090909145,0.004090909090909145,0.03384297520661157,7,7,0.6058475203552923
raw_platt_conservative_confidence,0.965,0.023204517225584947,0.3212765877289339,0.029244605185858044,5,3,0.7057735011102887
raw_isotonic_conservative_confidence,0.965,0.019663952512791308,0.3212765877289339,0.02994411848925239,5,3,0.6965210954848261
tcl_v0_probe_confidence,0.94,0.050047865954214454,0.9480647042288749,0.051370239620043036,6,5,0.7490747594374537
tcl_v0_conservative_confidence,0.94,0.040488235736664976,0.9480647042288749,0.04643921703906897,4,2,0.8068097705403405
tcl_v0_calibrated_confidence,0.65,0.39779852194673904,0.9152151529816814,0.21633003085275426,0,0,0.7490747594374537
