signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.66,0.23897863108403392,0.31789896156341446,0.2810621643240196,62,33,0.5344251336898396
raw_temperature_scaled_confidence,0.66,0.14070245943831494,0.14070245943831494,0.24345198685122454,0,0,0.5344251336898396
raw_platt_confidence,0.515,0.1586629030730165,0.17032579183151164,0.24910423393344389,0,0,0.5344251336898396
raw_isotonic_confidence,0.455,0.16377410253375446,1.0,0.25003414070975066,3,3,0.5516377005347594
raw_platt_conservative_confidence,0.515,0.1586629030730165,0.17032579183151164,0.24910423393344389,0,0,0.5344251336898396
raw_isotonic_conservative_confidence,0.455,0.16258416626099212,1.0,0.24959894460088272,3,3,0.5526403743315508
tcl_v0_probe_confidence,0.835,0.14201906166767625,0.5901339396162274,0.13673953373771142,12,11,0.9004010695187166
tcl_v0_conservative_confidence,0.835,0.12112506752930503,0.5901339396162274,0.13415980894089724,10,5,0.8830213903743316
tcl_v0_calibrated_confidence,0.8,0.11713384851549681,0.4607477671767623,0.12587061111437783,5,1,0.9004010695187166
