signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.555,0.34402788554176916,0.5201313618499708,0.25536560673369874,9,3,0.747093486223921
raw_temperature_scaled_confidence,0.555,0.32208695639245194,0.3843588420006053,0.24461798539388127,0,0,0.747093486223921
raw_platt_confidence,0.805,0.06326138113381911,0.4493182267755005,0.13850331677136565,0,0,0.747093486223921
raw_isotonic_confidence,0.835,0.05599783986175116,0.4,0.13509098932700359,0,0,0.7192228061793279
raw_platt_conservative_confidence,0.805,0.06317205878273544,0.4493182267755005,0.138501721074885,0,0,0.747093486223921
raw_isotonic_conservative_confidence,0.835,0.05599783986175116,0.4,0.13509098932700359,0,0,0.7192228061793279
tcl_v0_probe_confidence,0.825,0.1436514982526594,0.5043269789465844,0.15544199775804748,10,8,0.7935977066411849
tcl_v0_conservative_confidence,0.84,0.09973978470490615,0.29875088724566246,0.13198928831014192,1,0,0.8049052396878483
tcl_v0_calibrated_confidence,0.72,0.26145251325559893,0.3656600218040337,0.19918614540656743,2,0,0.7935977066411849
