signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.26,0.5464265596376101,0.6353173619765483,0.4733927770684538,76,19,0.7119282744282744
raw_temperature_scaled_confidence,0.26,0.28226346077671144,0.37032142954965586,0.2648843801110203,0,0,0.7119282744282744
raw_platt_confidence,0.63,0.24395157064396053,0.3358527109435196,0.23193592512832611,0,0,0.7119282744282744
raw_isotonic_confidence,0.705,0.21498296960236743,0.33333333333333337,0.21967890207883423,1,1,0.698739604989605
raw_platt_conservative_confidence,0.63,0.24395157064396053,0.3358527109435196,0.23193592512832611,0,0,0.7119282744282744
raw_isotonic_conservative_confidence,0.705,0.21473761780948109,0.33176470588235274,0.2194890772853711,1,1,0.698739604989605
tcl_v0_probe_confidence,0.755,0.19942997114286537,0.6961791705279854,0.21201337306958606,15,10,0.7557172557172557
tcl_v0_conservative_confidence,0.755,0.17640799198834387,0.6961791705279854,0.1972734148114247,10,2,0.7607848232848233
tcl_v0_calibrated_confidence,0.735,0.18638931860110158,0.44350779463166656,0.1996376179542002,6,0,0.7557172557172557
