signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.585,0.29685652318784694,0.5677124346719619,0.27821288223641305,42,17,0.8375608766233766
raw_temperature_scaled_confidence,0.585,0.16592118109820714,0.47531783190307236,0.20872313230612025,0,0,0.8375608766233766
raw_platt_confidence,0.745,0.09158697280549463,0.1418927196422595,0.17474694440744368,0,0,0.8375608766233766
raw_isotonic_confidence,0.73,0.05907443609022553,0.33333333333333337,0.1819074011995128,2,2,0.7903814935064936
raw_platt_conservative_confidence,0.745,0.09158697280549463,0.1418927196422595,0.17474694440744368,0,0,0.8375608766233766
raw_isotonic_conservative_confidence,0.73,0.05877884401953959,0.33333333333333337,0.18179288439375849,2,2,0.7935267857142857
tcl_v0_probe_confidence,0.74,0.1973197726957347,0.6954724037751225,0.21166430635481792,14,10,0.8139204545454546
tcl_v0_conservative_confidence,0.74,0.152007635696681,0.6954724037751225,0.19842573260897103,9,3,0.828226461038961
tcl_v0_calibrated_confidence,0.75,0.06466933187255225,0.21527858993647844,0.17640853226376588,3,1,0.8139204545454546
