signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.745,0.1195587124199548,0.5384601989454894,0.189955769738165,30,11,0.6739864864864865
raw_temperature_scaled_confidence,0.745,0.1285861290315503,0.22785264837026464,0.19597377274024833,0,0,0.6739864864864865
raw_platt_confidence,0.645,0.20685665044470214,0.40664623585700577,0.2266056952379473,0,0,0.6739864864864865
raw_isotonic_confidence,0.675,0.1897699598496252,0.40870488322717624,0.22979555378215427,1,1,0.6785343035343036
raw_platt_conservative_confidence,0.645,0.20685665044470214,0.40664623585700577,0.2266056952379473,0,0,0.6739864864864865
raw_isotonic_conservative_confidence,0.675,0.18850024943210433,0.40870488322717624,0.22971988105136426,1,1,0.6784043659043659
tcl_v0_probe_confidence,0.75,0.20163658586272604,0.6498929182838862,0.20874968668002183,17,16,0.7546777546777547
tcl_v0_conservative_confidence,0.75,0.1525698408599153,0.6498929182838862,0.1956441095363076,10,2,0.7833939708939709
tcl_v0_calibrated_confidence,0.665,0.23728503395253742,0.33914078210031817,0.22154940105354967,0,0,0.7546777546777547
