signal,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
raw_generation_confidence,0.745,0.1195587124199548,0.5384601989454894,0.189955769738165,30,11,0.6739864864864865
raw_temperature_scaled_confidence,0.745,0.04020540522245672,0.3694319441704777,0.1777069155345908,9,1,0.6739864864864865
raw_platt_confidence,0.745,0.05808203857207999,0.7445385453193943,0.1828237106477121,10,0,0.6739864864864865
raw_isotonic_confidence,0.735,0.09930263157894732,0.264,0.1919019275161588,13,4,0.6853560291060291
raw_platt_conservative_confidence,0.745,0.05808203857207999,0.7445385453193943,0.1828237106477121,10,0,0.6739864864864865
raw_isotonic_conservative_confidence,0.735,0.0980329211614265,0.264,0.19182625478536877,13,4,0.6852260914760915
tcl_v0_probe_confidence,0.75,0.20163658586272604,0.6498929182838862,0.20874968668002183,17,16,0.7546777546777547
tcl_v0_conservative_confidence,0.75,0.1525698408599153,0.6498929182838862,0.1956441095363076,10,2,0.7833939708939709
tcl_v0_calibrated_confidence,0.665,0.23728503395253742,0.33914078210031817,0.22154940105354967,0,0,0.7546777546777547
