id,split,hidden_state_method
q012,train,answer_mean
q004,train,answer_mean
q019,train,answer_mean
q007,train,answer_mean
q016,train,answer_mean
q018,train,answer_mean
q014,train,answer_mean
q020,train,answer_mean
q011,train,answer_mean
q009,train,answer_mean
q002,train,answer_mean
q003,train,answer_mean
q001,train,answer_mean
q006,test,answer_mean
q017,test,answer_mean
q005,test,answer_mean
q010,test,answer_mean
q013,test,answer_mean
q015,test,answer_mean
q008,test,answer_mean
